combined_id,date,detection_source,confidence,combined_class,soft_hard_delay_sec,slx_flare_id,slx_peak_utc,slx_start_utc,slx_end_utc,slx_peak_counts,slx_bg,slx_duration_sec,slx_class,slx_intensity_ratio,slx_rise_time_sec,slx_decay_time_sec,hel_flare_id,hel_peak_utc,hel_start_utc,hel_end_utc,hel_peak_ctr,hel_bg,hel_duration_sec,hel_class,hel_intensity_ratio,hel_rise_time_sec,hel_decay_time_sec,hel_detector,hel_energy_band
CMB_20260610_002,2026-06-10,SoLEXS_only,MEDIUM,C,,SLX_20260610_002,2026-06-10 13:25:23.000,2026-06-10 13:23:28.000,2026-06-10 13:31:18.000,58.0,8.0,471.0,C,7.25,115.0,355.0,,,,,,,,,,,,,
CMB_20260610_003,2026-06-10,SoLEXS_only,MEDIUM,B,,SLX_20260610_003,2026-06-10 23:49:40.000,2026-06-10 23:39:37.000,2026-06-10 23:49:59.000,254.0,58.0,623.0,B,4.379310344827586,603.0,20.0,,,,,,,,,,,,,
CMB_20260611_001,2026-06-11,SoLEXS_only,MEDIUM,C,,SLX_20260611_001,2026-06-11 06:47:52.000,2026-06-11 06:44:41.000,2026-06-11 06:53:25.000,39.0,7.0,525.0,C,5.571428571428571,191.0,334.0,,,,,,,,,,,,,
CMB_20260611_002,2026-06-11,SoLEXS+HEL1OS,HIGH,X,42.902,SLX_20260611_002,2026-06-11 08:28:09.000,2026-06-11 08:26:03.000,2026-06-11 08:38:03.000,507.0,12.0,721.0,M,42.25,126.0,594.0,HEL_20260611_001,2026-06-11 08:27:26.098,2026-06-11 00:00:07.098,2026-06-11 11:59:37.098,1312.0,1e-06,43170.0,X,1312000000.0,30439.0,12731.0,CdTe,
CMB_20260611_003,2026-06-11,SoLEXS_only,MEDIUM,B,,SLX_20260611_003,2026-06-11 11:36:56.000,2026-06-11 11:32:57.000,2026-06-11 11:40:00.000,41.0,12.0,424.0,B,3.4166666666666665,239.0,185.0,,,,,,,,,,,,,
CMB_20260612_001,2026-06-12,SoLEXS+HEL1OS,HIGH,X,9.256,SLX_20260612_001,2026-06-12 02:13:25.000,2026-06-12 02:11:33.000,2026-06-12 02:20:34.000,217.0,5.0,542.0,M,43.4,112.0,429.0,HEL_20260612_001,2026-06-12 02:13:15.744,2026-06-12 00:00:11.744,2026-06-12 23:59:38.771,458.0,1e-06,86336.0,X,458000000.0,7984.0,78352.0,CdTe,
CMB_20260612_002,2026-06-12,SoLEXS_only,MEDIUM,C,,SLX_20260612_002,2026-06-12 12:18:38.000,2026-06-12 12:16:44.000,2026-06-12 12:24:25.000,31.0,4.0,462.0,C,7.75,114.0,347.0,,,,,,,,,,,,,
CMB_20260613_001,2026-06-13,HEL1OS_only,MEDIUM,X,,,,,,,,,,,,,HEL_20260613_001,2026-06-13 02:16:12.947,2026-06-13 00:00:18.947,2026-06-13 23:59:32.504,92.0,1e-06,86330.0,X,92000000.0,8154.0,78176.0,CdTe,
CMB_20260613_002,2026-06-13,SoLEXS_only,MEDIUM,B,,SLX_20260613_001,2026-06-13 12:59:49.000,2026-06-13 12:49:40.000,2026-06-13 12:59:59.000,89.0,25.0,620.0,B,3.56,609.0,11.0,,,,,,,,,,,,,
CMB_20260614_001,2026-06-14,SoLEXS+HEL1OS,HIGH,X,45.079,SLX_20260614_001,2026-06-14 08:56:05.000,2026-06-14 08:54:05.000,2026-06-14 09:04:55.000,59.0,5.0,651.0,C,11.8,120.0,530.0,HEL_20260614_001,2026-06-14 08:55:19.921,2026-06-14 00:00:12.921,2026-06-14 23:59:39.789,79.0,1e-06,86343.0,X,79000000.0,32107.0,54236.0,CdTe,
CMB_20260615_001,2026-06-15,SoLEXS_only,MEDIUM,B,,SLX_20260615_001,2026-06-15 02:15:11.000,2026-06-15 02:04:56.000,2026-06-15 02:16:20.000,57.0,20.0,685.0,B,2.85,615.0,69.0,,,,,,,,,,,,,
CMB_20260615_002,2026-06-15,SoLEXS_only,MEDIUM,C,,SLX_20260615_002,2026-06-15 09:55:26.000,2026-06-15 09:53:46.000,2026-06-15 10:02:43.000,73.0,9.0,538.0,C,8.11111111111111,100.0,437.0,,,,,,,,,,,,,
CMB_20260615_003,2026-06-15,SoLEXS_only,MEDIUM,C,,SLX_20260615_003,2026-06-15 11:52:11.000,2026-06-15 11:51:31.000,2026-06-15 11:55:24.000,56.0,10.0,234.0,C,5.6,40.0,193.0,,,,,,,,,,,,,
CMB_20260615_004,2026-06-15,SoLEXS_only,MEDIUM,C,,SLX_20260615_004,2026-06-15 13:15:26.000,2026-06-15 13:14:54.000,2026-06-15 13:16:55.000,95.0,7.0,122.0,C,13.571428571428571,32.0,89.0,,,,,,,,,,,,,
